Preprocessing,Algorithm,k_requested,n_clusters_found,n_noise,Silhouette,CalinskiHarabasz,DaviesBouldin,AdjustedRandIndex
None,KMeans,3,3,0,0.5711381937868838,561.815657860671,0.5342431775436286,0.37111371823084754
None,KMeans,4,4,0,0.5620323449580341,708.0866763901623,0.544344690880639,0.303442531578347
None,KMeans,5,5,0,0.5489993239795675,787.0469221178355,0.5450474069118009,0.31158801033176253
None,Agglomerative,3,3,0,0.5644796401732068,552.851711505718,0.5357343073560251,0.36840191587483156
None,Agglomerative,4,4,0,0.560672694839426,670.6259906052811,0.5535739500227292,0.2818746939706753
None,Agglomerative,5,5,0,0.5074843044233786,684.2226128880217,0.5513145248753538,0.21533322459795182
None,GMM,3,3,0,0.34726590057721557,266.2209223319081,0.8154760592030401,0.4619272282027204
None,GMM,4,4,0,0.3388749778902543,327.8201834492844,0.6732248337604343,0.5231636901481106
None,GMM,5,5,0,0.3293737647923194,333.54700888918364,0.7474998674466649,0.38304370300549073
None,DBSCAN,auto,4,11,0.5053187981634035,272.60326824030216,0.38390585870690674,0.29127609608162147
None,MeanShift,auto,5,0,0.5533204909554731,287.00886903874226,0.45420908447146147,0.336311179745315
Normalization,KMeans,3,3,0,0.3008938518500133,83.35112750771908,1.3086395800210653,0.8536602842727952
Normalization,KMeans,4,4,0,0.25993667561623146,65.85204613361334,1.7230661310580344,0.7509168592139368
Normalization,KMeans,5,5,0,0.20493406161798233,54.42460544594799,1.8195744541407255,0.643169915364281
Normalization,Agglomerative,3,3,0,0.2948290632158541,81.32763860672199,1.3183111453428589,0.9310001175059304
Normalization,Agglomerative,4,4,0,0.24870332075467336,63.51486945880699,1.7528702791091588,0.7697432844874517
Normalization,Agglomerative,5,5,0,0.20415379209163967,52.27704253240945,1.93677578981231,0.6837934061868676
Normalization,GMM,3,3,0,0.29274558609953855,80.65985556988704,1.3248604776128416,0.8974949815093207
Normalization,GMM,4,4,0,0.2672022277519516,63.25948589609638,1.8054282063770248,0.7679692635618746
Normalization,GMM,5,5,0,0.20343204180185506,48.89077606170951,1.728215704711855,0.7017299876438572
Normalization,DBSCAN,auto,1,12,,,,-0.005881148485139818
Normalization,MeanShift,auto,5,0,0.220366867955623,25.281832058475384,1.130425233482899,0.37257714444451234
Standardization,KMeans,3,3,0,0.2848589191898987,70.9400080031512,1.3891879777181646,0.8974949815093207
Standardization,KMeans,4,4,0,0.26017035223704527,56.181355187904686,1.7968917400704767,0.7645635004420589
Standardization,KMeans,5,5,0,0.20161908294074093,46.952209001853014,1.8083185918965696,0.5990733499120439
Standardization,Agglomerative,3,3,0,0.2774439826952266,67.6474675044098,1.4185919431857326,0.7899332213582837
Standardization,Agglomerative,4,4,0,0.22583665933475802,51.46414629882825,1.7886506143765981,0.6568168355341232
Standardization,Agglomerative,5,5,0,0.18674235566758707,43.67927204722388,1.9228554600490608,0.5830332574134743
Standardization,GMM,3,3,0,0.2844212860533542,70.68777673224997,1.3938008647586722,0.8803997758776985
Standardization,GMM,4,4,0,0.25422758316007776,52.75853530591114,1.6954175827443763,0.8171794623243068
Standardization,GMM,5,5,0,0.2248525497469952,45.331278266391465,1.5683228961489177,0.6863785464588609
Standardization,DBSCAN,auto,1,11,,,,-0.005929398352149316
Standardization,MeanShift,auto,6,0,0.19807240260939732,19.442135141899417,1.0569883807378626,0.3642912563240469
PCA,KMeans,3,3,0,0.29867482943692897,76.17957977418838,1.3363263335155766,0.8974949815093207
PCA,KMeans,4,4,0,0.27331919957819983,60.589226819355936,1.740503860628855,0.7727955905200289
PCA,KMeans,5,5,0,0.24731650294683935,50.76347825870684,1.6303469497469791,0.722735337107592
PCA,Agglomerative,3,3,0,0.2839520778138408,72.14089471083133,1.3440708190922404,0.7587370866635239
PCA,Agglomerative,4,4,0,0.22505552510993898,55.05856596822837,1.6355641294624172,0.7248661669579857
PCA,Agglomerative,5,5,0,0.223782135084144,46.83412968669492,1.762278469110282,0.7428726664918898
PCA,GMM,3,3,0,0.2937407026605512,73.29855107037032,1.3672051112259354,0.9650516223023584
PCA,GMM,4,4,0,0.2845801469875698,58.220983567235066,1.848152170332024,0.7857953646638202
PCA,GMM,5,5,0,0.24616103020155225,47.30841050786726,1.4793017045499384,0.8050666261055179
PCA,DBSCAN,auto,1,11,,,,-0.005929398352149316
PCA,MeanShift,auto,3,0,0.26731685877821504,42.29301630545384,1.430375578861195,0.3687997860932227
Std+Norm,KMeans,3,3,0,0.30041839946925114,76.52647786907593,1.3537403284160916,0.8837096104912531
Std+Norm,KMeans,4,4,0,0.2677657039073707,60.32956720815162,1.7749223665154625,0.7509168592139368
Std+Norm,KMeans,5,5,0,0.25249535173172905,50.18100753590135,1.7921610954299396,0.676010894135676
Std+Norm,Agglomerative,3,3,0,0.2890704805954663,71.85636889032772,1.4048219045088717,0.7740093435879329
Std+Norm,Agglomerative,4,4,0,0.24538467433342764,55.642696832355334,1.5870789898675517,0.6694123326863868
Std+Norm,Agglomerative,5,5,0,0.2502781886257576,47.04218834344245,1.6032163105470474,0.6123670294634573
Std+Norm,GMM,3,3,0,0.2979278066929806,75.67516655117609,1.3626812663469539,0.9011144313217493
Std+Norm,GMM,4,4,0,0.26674363503549126,60.32267210569168,1.7777149977185958,0.7547226468895967
Std+Norm,GMM,5,5,0,0.25249535173172905,50.18100753590135,1.7921610954299396,0.676010894135676
Std+Norm,DBSCAN,auto,1,6,,,,-0.008166310135317404
Std+Norm,MeanShift,auto,3,0,0.30041839946925114,76.52647786907593,1.3537403284160916,0.8837096104912531
